league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk
INT-World Cup,2018,Belgium,Toby Alderweireld,Belgium,DF,29,1989,6,6,540,6.0,0,1,1,0,0,0,2,0,0.0,0.17,0.17,0.0,0.17
INT-World Cup,2018,Belgium,Vincent Kompany,Belgium,DF,32,1986,5,4,377,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Belgium,Yannick Carrasco,Belgium,MF,24,1993,4,3,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Belgium,Youri Tielemans,Belgium,"MF,FW",21,1997,4,2,176,2.0,0,2,2,0,0,0,1,0,0.0,1.02,1.02,0.0,1.02
INT-World Cup,2018,Brazil,Alisson,Brazil,GK,25,1992,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Brazil,Casemiro,Brazil,MF,26,1992,4,4,329,3.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Brazil,Danilo,Brazil,DF,26,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Brazil,Douglas Costa,Brazil,"FW,MF",27,1990,2,0,78,0.9,0,1,1,0,0,0,0,0,0.0,1.15,1.15,0.0,1.15
INT-World Cup,2018,Brazil,Fagner,Brazil,DF,29,1989,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Brazil,Fernandinho,Brazil,MF,33,1985,5,1,158,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Brazil,Filipe Luís,Brazil,DF,32,1985,2,1,171,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Brazil,Gabriel Jesus,Brazil,FW,21,1997,5,5,404,4.5,0,1,1,0,0,0,0,0,0.0,0.22,0.22,0.0,0.22
INT-World Cup,2018,Brazil,Marcelo,Brazil,DF,30,1988,4,4,279,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Brazil,Marquinhos,Brazil,"DF,MF",24,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Brazil,Miranda,Brazil,DF,33,1984,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Brazil,Neymar,Brazil,MF,26,1992,5,5,450,5.0,2,2,4,2,0,0,1,0,0.4,0.4,0.8,0.4,0.8
INT-World Cup,2018,Brazil,Paulinho,Brazil,MF,29,1988,5,5,349,3.9,1,0,1,1,0,0,0,0,0.26,0.0,0.26,0.26,0.26
INT-World Cup,2018,Brazil,Philippe Coutinho,Brazil,MF,26,1992,5,5,434,4.8,2,2,4,2,0,0,1,0,0.41,0.41,0.83,0.41,0.83
INT-World Cup,2018,Brazil,Renato Augusto,Brazil,MF,30,1988,3,0,53,0.6,1,0,1,1,0,0,0,0,1.7,0.0,1.7,1.7,1.7
INT-World Cup,2018,Brazil,Roberto Firmino,Brazil,"FW,MF",26,1991,4,0,85,0.9,1,0,1,1,0,0,0,0,1.06,0.0,1.06,1.06,1.06
INT-World Cup,2018,Brazil,Thiago Silva,Brazil,DF,33,1984,5,5,450,5.0,1,0,1,1,0,0,0,0,0.2,0.0,0.2,0.2,0.2
INT-World Cup,2018,Brazil,Willian,Brazil,MF,29,1988,5,5,359,4.0,0,1,1,0,0,0,0,0,0.0,0.25,0.25,0.0,0.25
INT-World Cup,2018,Colombia,Abel Aguilar,Colombia,MF,33,1985,1,1,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Colombia,Carlos Bacca,Colombia,FW,31,1986,3,0,94,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Colombia,Carlos Sánchez,Colombia,MF,32,1986,3,3,170,1.9,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Colombia,Cristián Zapata,Colombia,DF,31,1986,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Colombia,David Ospina,Colombia,GK,29,1988,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Colombia,Davinson Sánchez,Colombia,DF,22,1996,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Colombia,James Rodríguez,Colombia,MF,26,1991,3,2,152,1.7,0,2,2,0,0,0,1,0,0.0,1.18,1.18,0.0,1.18
INT-World Cup,2018,Colombia,Jefferson Lerma,Colombia,MF,23,1994,4,2,176,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Colombia,Johan Mojica,Colombia,DF,25,1992,4,4,390,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Colombia,José Izquierdo,Colombia,MF,25,1992,1,1,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Colombia,Juan Cuadrado,Colombia,MF,30,1988,4,4,330,3.7,1,1,2,1,0,0,1,0,0.27,0.27,0.55,0.27,0.55
INT-World Cup,2018,Colombia,Juan Quintero,Colombia,MF,25,1993,4,4,307,3.4,1,2,3,1,0,0,0,0,0.29,0.59,0.88,0.29,0.88
INT-World Cup,2018,Colombia,Luis Muriel,Colombia,FW,27,1991,2,0,93,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Colombia,Mateus Uribe,Colombia,MF,27,1991,3,1,183,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Colombia,Miguel Borja,Colombia,FW,25,1993,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Colombia,Radamel Falcao,Colombia,FW,32,1986,4,4,375,4.2,1,0,1,1,0,0,1,0,0.24,0.0,0.24,0.24,0.24
INT-World Cup,2018,Colombia,Santiago Arias,Colombia,DF,26,1992,4,4,385,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Colombia,Wílmar Barrios,Colombia,MF,24,1993,3,2,270,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Colombia,Yerry Mina,Colombia,DF,23,1994,3,3,300,3.3,3,0,3,3,0,0,0,0,0.9,0.0,0.9,0.9,0.9
INT-World Cup,2018,Colombia,Óscar Murillo,Colombia,DF,30,1988,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Costa Rica,Bryan Oviedo,Costa Rica,DF,28,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Costa Rica,Bryan Ruiz,Costa Rica,FW,32,1985,3,3,270,3.0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Costa Rica,Celso Borges,Costa Rica,MF,30,1988,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Costa Rica,Christian Bolaños,Costa Rica,MF,34,1984,2,0,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Costa Rica,Cristian Gamboa,Costa Rica,DF,28,1989,3,3,253,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Costa Rica,Daniel Colindres,Costa Rica,FW,33,1985,2,1,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Costa Rica,David Guzmán,Costa Rica,MF,28,1990,3,3,243,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Costa Rica,Francisco Calvo,Costa Rica,DF,25,1992,2,1,106,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Costa Rica,Giancarlo González,Costa Rica,DF,30,1988,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Costa Rica,Ian Smith,Costa Rica,MF,20,1998,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Costa Rica,Joel Campbell,Costa Rica,FW,25,1992,2,1,115,1.3,0,1,1,0,0,0,1,0,0.0,0.78,0.78,0.0,0.78
INT-World Cup,2018,Costa Rica,Johan Venegas,Costa Rica,FW,29,1988,2,2,149,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Costa Rica,Johnny Acosta,Costa Rica,DF,34,1983,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Costa Rica,Kendall Waston,Costa Rica,DF,30,1988,1,1,90,1.0,1,0,1,1,0,0,1,0,1.0,0.0,1.0,1.0,1.0
INT-World Cup,2018,Costa Rica,Keylor Navas,Costa Rica,GK,31,1986,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Costa Rica,Marco Ureña,Costa Rica,FW,28,1990,2,2,118,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Costa Rica,Randall Azofeifa,Costa Rica,MF,33,1984,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Costa Rica,Rodney Wallace,Costa Rica,"DF,MF",29,1988,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Costa Rica,Yeltsin Tejeda,Costa Rica,MF,26,1992,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Costa Rica,Óscar Duarte,Costa Rica,DF,29,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Croatia,Andrej Kramarić,Croatia,"MF,FW",26,1991,7,3,334,3.7,1,0,1,1,0,0,0,0,0.27,0.0,0.27,0.27,0.27
INT-World Cup,2018,Croatia,Ante Rebić,Croatia,MF,24,1993,6,6,543,6.0,1,0,1,1,0,0,2,0,0.17,0.0,0.17,0.17,0.17
INT-World Cup,2018,Croatia,Danijel Subašić,Croatia,GK,33,1984,6,6,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Croatia,Dejan Lovren,Croatia,DF,28,1989,7,6,651,7.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Croatia,Domagoj Vida,Croatia,DF,29,1989,6,6,630,7.0,1,1,2,1,0,0,1,0,0.14,0.14,0.29,0.14,0.29
INT-World Cup,2018,Croatia,Duje Ćaleta-Car,Croatia,DF,21,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Croatia,Filip Bradarić,Croatia,MF,26,1992,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Croatia,Ivan Perišić,Croatia,MF,29,1989,7,7,629,7.0,3,1,4,3,0,0,0,0,0.43,0.14,0.57,0.43,0.57
INT-World Cup,2018,Croatia,Ivan Rakitić,Croatia,MF,30,1988,7,6,640,7.1,1,0,1,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14
INT-World Cup,2018,Croatia,Ivan Strinić,Croatia,DF,30,1987,6,6,508,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Croatia,Josip Pivarić,Croatia,DF,29,1989,4,1,203,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Croatia,Lovre Kalinić,Croatia,GK,28,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Croatia,Luka Modrić,Croatia,MF,32,1985,7,7,691,7.7,2,1,3,1,1,2,0,0,0.26,0.13,0.39,0.13,0.26
INT-World Cup,2018,Croatia,Marcelo Brozović,Croatia,MF,25,1992,6,4,459,5.1,0,1,1,0,0,0,1,0,0.0,0.2,0.2,0.0,0.2
INT-World Cup,2018,Croatia,Mario Mandžukić,Croatia,FW,32,1986,6,6,605,6.7,3,1,4,3,0,0,2,0,0.45,0.15,0.6,0.45,0.6
INT-World Cup,2018,Croatia,Marko Pjaca,Croatia,MF,23,1995,3,1,83,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Croatia,Mateo Kovačić,Croatia,MF,24,1994,5,1,185,2.1,0,1,1,0,0,0,0,0,0.0,0.49,0.49,0.0,0.49
INT-World Cup,2018,Croatia,Milan Badelj,Croatia,MF,29,1989,3,1,106,1.2,1,1,2,1,0,0,0,0,0.85,0.85,1.7,0.85,1.7
INT-World Cup,2018,Croatia,Tin Jedvaj,Croatia,DF,22,1995,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Croatia,Vedran Ćorluka,Croatia,DF,32,1986,4,1,121,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Croatia,Šime Vrsaljko,Croatia,DF,26,1992,6,6,606,6.7,0,1,1,0,0,0,2,0,0.0,0.15,0.15,0.0,0.15
INT-World Cup,2018,Denmark,Andreas Christensen,Denmark,"DF,MF",22,1996,4,4,305,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Denmark,Andreas Cornelius,Denmark,FW,25,1993,3,2,162,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Denmark,Christian Eriksen,Denmark,MF,26,1992,4,4,390,4.3,1,1,2,1,0,0,0,0,0.23,0.23,0.46,0.23,0.46
INT-World Cup,2018,Denmark,Henrik Dalsgaard,Denmark,DF,28,1989,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Denmark,Jens Stryger Larsen,Denmark,DF,27,1991,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Denmark,Jonas Knudsen,Denmark,DF,25,1992,1,1,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Denmark,Kasper Dolberg,Denmark,FW,20,1997,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Denmark,Kasper Schmeichel,Denmark,GK,31,1986,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Denmark,Lasse Schöne,Denmark,MF,32,1986,3,1,221,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Denmark,Lukas Lerager,Denmark,MF,24,1993,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Denmark,Martin Braithwaite,Denmark,FW,27,1991,4,2,251,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Denmark,Mathias Jørgensen,Denmark,"MF,DF",28,1990,3,2,220,2.4,1,0,1,1,0,0,2,0,0.41,0.0,0.41,0.41,0.41
INT-World Cup,2018,Denmark,Michael Krohn-Dehli,Denmark,"FW,MF",35,1983,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Denmark,Nicolai Jørgensen,Denmark,FW,27,1991,3,2,212,2.4,0,1,1,0,0,0,0,0,0.0,0.42,0.42,0.0,0.42
INT-World Cup,2018,Denmark,Pione Sisto,Denmark,"MF,FW",23,1995,4,3,230,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Denmark,Simon Kjær,Denmark,DF,29,1989,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Denmark,Thomas Delaney,Denmark,MF,26,1991,4,4,366,4.1,0,1,1,0,0,0,1,0,0.0,0.25,0.25,0.0,0.25
INT-World Cup,2018,Denmark,Viktor Fischer,Denmark,"FW,MF",24,1994,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Denmark,William Kvist,Denmark,MF,33,1985,1,1,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Denmark,Yussuf Poulsen,Denmark,"MF,FW",23,1994,3,3,268,3.0,1,0,1,1,0,0,2,0,0.34,0.0,0.34,0.34,0.34
INT-World Cup,2018,Egypt,Abdallah Said,Egypt,MF,32,1985,3,3,224,2.5,0,1,1,0,0,0,0,0,0.0,0.4,0.4,0.0,0.4
INT-World Cup,2018,Egypt,Ahmed Fathy,Egypt,DF,33,1984,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Egypt,Ahmed Hegazi,Egypt,DF,27,1991,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Egypt,Ali Gabr,Egypt,DF,29,1989,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Egypt,Amr Warda,Egypt,MF,24,1993,3,1,154,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2018,Egypt,Essam El-Hadary,Egypt,GK,45,1973,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
