jersey_number,position,name,dob,nation,nation_code,club,club_country,height_cm,caps,int_goals,c2425_matches,c2425_starts,c2425_minutes,c2425_nineties,c2425_goals,c2425_assists,c2425_pens_scored,c2425_pens_att,c2425_yellows,c2425_reds,c2425_shots,c2425_shots_on_target,c2425_fouls,c2425_interceptions,c2425_tackles_won,c2425_own_goals,c2425_pens_won,c2425_pens_conceded,c2425_match_score,c2425_matched_player,c2526_matches,c2526_starts,c2526_minutes,c2526_nineties,c2526_goals,c2526_assists,c2526_pens_scored,c2526_pens_att,c2526_yellows,c2526_reds,c2526_shots,c2526_shots_on_target,c2526_fouls,c2526_interceptions,c2526_tackles_won,c2526_own_goals,c2526_pens_won,c2526_pens_conceded,c2526_match_score,c2526_matched_player,i2018_matches,i2018_starts,i2018_minutes,i2018_nineties,i2018_goals,i2018_assists,i2018_pens_scored,i2018_pens_att,i2018_yellows,i2018_reds,i2018_shots,i2018_shots_on_target,i2018_fouls,i2018_interceptions,i2018_tackles_won,i2018_own_goals,i2018_pens_won,i2018_pens_conceded,i2018_match_score,i2018_matched_player,i2022_matches,i2022_starts,i2022_minutes,i2022_nineties,i2022_goals,i2022_assists,i2022_pens_scored,i2022_pens_att,i2022_yellows,i2022_reds,i2022_shots,i2022_shots_on_target,i2022_fouls,i2022_interceptions,i2022_tackles_won,i2022_own_goals,i2022_pens_won,i2022_pens_conceded,i2022_match_score,i2022_matched_player
1,GK,MUSSO Juan Juan Agustín MUSSO MUSSO,06/05/1994,Argentina,ARG,Atlético De Madrid,ESP,193,4,0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100.0,Juan Musso,8.0,8.0,720.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,100.0,Juan Musso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DF,SENESI Marcos Marcos Nicolás SENESI BARON SENESI,10/05/1997,Argentina,ARG,AFC Bournemouth,ENG,185,3,0,17.0,13.0,1106.0,12.3,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,22.0,14.0,19.0,0.0,,,100.0,Marcos Senesi,37.0,37.0,3288.0,36.5,0.0,5.0,0.0,0.0,8.0,0.0,17.0,5.0,35.0,50.0,34.0,0.0,,,100.0,Marcos Senesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DF,TAGLIAFICO Nicolas Nicolás Alejandro TAGLIAFICO TAGLIAFICO,31/08/1992,Argentina,ARG,Olympique Lyonnais,FRA,172,77,1,24.0,22.0,1902.0,21.1,3.0,1.0,0.0,0.0,7.0,0.0,28.0,7.0,41.0,32.0,39.0,0.0,,,100.0,Nicolás Tagliafico,20.0,14.0,1310.0,14.6,0.0,3.0,0.0,0.0,5.0,2.0,15.0,1.0,36.0,17.0,14.0,0.0,,,100.0,Nicolás Tagliafico,4.0,4.0,349.0,3.9,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0,4.0,3.0,0.0,0.0,0.0,100.0,Nicolás Tagliafico,6.0,3.0,373.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,9.0,7.0,0.0,,,100.0,Nicolás Tagliafico
4,DF,MONTIEL Gonzalo Gonzalo Ariel MONTIEL MONTIEL,01/01/1997,Argentina,ARG,CA River Plate,ARG,175,40,2,6.0,1.0,113.0,1.3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,0.0,,,100.0,Gonzalo Montiel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,118.0,1.3,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,1.0,2.0,0.0,,,100.0,Gonzalo Montiel
5,MF,PAREDES Leandro Leandro Daniel PAREDES PAREDES,29/06/1994,Argentina,ARG,CA Boca Juniors,ARG,182,78,5,22.0,15.0,1373.0,15.3,3.0,1.0,2.0,2.0,4.0,0.0,26.0,9.0,15.0,20.0,14.0,0.0,,,100.0,Leandro Paredes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,225.0,2.5,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,6.0,3.0,4.0,0.0,,,100.0,Leandro Paredes
6,DF,MARTINEZ Lisandro Lisandro MARTÍNEZ MARTÍNEZ,18/01/1998,Argentina,ARG,Manchester United FC,ENG,175,30,1,20.0,20.0,1751.0,19.5,2.0,1.0,0.0,0.0,7.0,0.0,17.0,6.0,22.0,31.0,24.0,0.0,,,100.0,Lisandro Martínez,18.0,13.0,1233.0,13.7,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,9.0,12.0,11.0,1.0,,,100.0,Lisandro Martínez,,,,,,,,,,,,,,,,,,,,,5.0,2.0,303.0,3.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,,,100.0,Lisandro Martínez
7,MF,DE PAUL Rodrigo Rodrigo Javier DE PAUL DE PAUL,24/05/1994,Argentina,ARG,Inter Miami CF,USA,178,89,2,34.0,23.0,2106.0,23.4,3.0,5.0,0.0,0.0,7.0,0.0,19.0,4.0,19.0,6.0,24.0,0.0,,,100.0,Rodrigo De Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,599.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,7.0,7.0,7.0,0.0,,,100.0,Rodrigo De Paul
8,MF,BARCO Valentin Valentin BARCO BARCO,23/07/2004,Argentina,ARG,RC Strasbourg,FRA,172,4,2,,,,,,,,,,,,,,,,,,,100.0,Valentín Barco,27.0,24.0,2168.0,24.1,2.0,4.0,0.0,0.0,5.0,1.0,27.0,10.0,24.0,14.0,33.0,0.0,,,100.0,Valentín Barco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,FW,ALVAREZ Julian Julián ÁLVAREZ J. ALVAREZ,31/01/2000,Argentina,ARG,Atlético De Madrid,ESP,170,53,14,37.0,30.0,2509.0,27.9,17.0,4.0,4.0,4.0,5.0,0.0,73.0,40.0,26.0,2.0,17.0,0.0,,,100.0,Julián Álvarez,29.0,22.0,1895.0,21.1,8.0,4.0,2.0,3.0,2.0,0.0,54.0,26.0,14.0,3.0,13.0,0.0,,,100.0,Julián Álvarez,,,,,,,,,,,,,,,,,,,,,7.0,5.0,464.0,5.2,4.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,13.0,0.0,2.0,0.0,,,100.0,Julián Álvarez
10,FW,MESSI Lionel Lionel Andrés MESSI MESSI,24/06/1987,Argentina,ARG,Inter Miami CF,USA,170,201,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,360.0,4.0,1.0,2.0,0.0,1.0,1.0,0.0,18.0,6.0,4.0,0.0,5.0,0.0,0.0,0.0,100.0,Lionel Messi,7.0,7.0,690.0,7.7,7.0,3.0,4.0,5.0,1.0,0.0,32.0,18.0,10.0,0.0,4.0,0.0,,,100.0,Lionel Messi
11,MF,LO CELSO Giovani Giovani LO CELSO LO CELSO,09/04/1996,Argentina,ARG,Real Betis,ESP,177,67,4,25.0,15.0,1457.0,16.2,8.0,3.0,2.0,3.0,4.0,0.0,34.0,19.0,13.0,5.0,21.0,0.0,,,100.0,Giovani Lo Celso,24.0,15.0,1393.0,15.5,2.0,3.0,0.0,0.0,4.0,0.0,30.0,11.0,9.0,6.0,13.0,0.0,,,100.0,Giovani Lo Celso,,,,,,,,,,,,,,,,,,,100.0,Giovani Lo Celso,,,,,,,,,,,,,,,,,,,,
12,GK,RULLI Geronimo Geronimo RULLI RULLI,20/05/1992,Argentina,ARG,Olympique Marseille,FRA,189,8,0,34.0,34.0,3060.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,,,100.0,Gerónimo Rulli,29.0,29.0,2610.0,29.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,100.0,Gerónimo Rulli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,Gerónimo Rulli
13,DF,ROMERO Cristian Cristian Gabriel ROMERO ROMERO,27/04/1998,Argentina,ARG,Tottenham Hotspur FC,ENG,185,53,3,18.0,18.0,1416.0,15.7,1.0,0.0,0.0,0.0,3.0,0.0,16.0,8.0,14.0,15.0,29.0,0.0,,,100.0,Cristian Romero,23.0,22.0,1868.0,20.8,4.0,1.0,0.0,0.0,11.0,2.0,17.0,6.0,32.0,31.0,30.0,0.0,,,100.0,Cristian Romero,,,,,,,,,,,,,,,,,,,,,7.0,6.0,547.0,6.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,3.0,3.0,0.0,,,100.0,Cristian Romero
14,MF,PALACIOS Exequiel Exequiel Alejandro PALACIOS PALACIOS,05/10/1998,Argentina,ARG,Bayer 04 Leverkusen,GER,177,40,0,24.0,11.0,1155.0,12.8,1.0,6.0,0.0,0.0,2.0,0.0,13.0,9.0,9.0,12.0,15.0,0.0,,,100.0,Exequiel Palacios,18.0,12.0,1099.0,12.2,0.0,1.0,0.0,0.0,3.0,0.0,10.0,2.0,6.0,10.0,9.0,0.0,,,100.0,Exequiel Palacios,,,,,,,,,,,,,,,,,,,,,3.0,0.0,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,,,100.0,Exequiel Palacios
15,MF,GONZALEZ Nico Nicolas Ivan GONZALEZ N. GONZALEZ,06/04/1998,Argentina,ARG,Atlético De Madrid,ESP,180,53,6,26.0,23.0,1750.0,19.4,3.0,2.0,0.0,0.0,3.0,0.0,45.0,21.0,30.0,9.0,14.0,0.0,,,100.0,Nicolás González,24.0,18.0,1448.0,16.1,5.0,0.0,0.0,0.0,4.0,1.0,43.0,21.0,28.0,11.0,16.0,0.0,,,100.0,Nicolás González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,FW,ALMADA Thiago Thiago Ezequiel ALMADA ALMADA,26/04/2001,Argentina,ARG,Atlético De Madrid,ESP,171,18,5,16.0,9.0,951.0,10.6,1.0,4.0,0.0,0.0,3.0,0.0,23.0,5.0,10.0,7.0,9.0,0.0,,,100.0,Thiago Almada,27.0,16.0,1311.0,14.6,3.0,1.0,0.0,0.0,2.0,1.0,21.0,10.0,13.0,9.0,18.0,0.0,,,100.0,Thiago Almada,,,,,,,,,,,,,,,,,,,,,1.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100.0,Thiago Almada
17,FW,SIMEONE Giuliano Giuliano SIMEONE SIMEONE,18/12/2002,Argentina,ARG,Atlético De Madrid,ESP,174,13,2,33.0,26.0,1926.0,21.4,2.0,6.0,0.0,0.0,4.0,0.0,22.0,7.0,23.0,15.0,13.0,0.0,,,100.0,Giuliano Simeone,31.0,25.0,2099.0,23.3,4.0,6.0,0.0,0.0,2.0,0.0,36.0,14.0,21.0,20.0,25.0,0.0,,,100.0,Giuliano Simeone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,FW,PAZ Nico Nicolas PAZ MARTÍNEZ NICO PAZ,08/09/2004,Argentina,ARG,Como,ITA,185,10,1,35.0,30.0,2687.0,29.9,6.0,8.0,0.0,1.0,6.0,0.0,110.0,38.0,47.0,20.0,32.0,0.0,,,100.0,Nicolás Paz,35.0,33.0,2878.0,32.0,12.0,6.0,0.0,2.0,5.0,0.0,121.0,48.0,54.0,27.0,56.0,0.0,,,100.0,Nicolás Paz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,DF,OTAMENDI Nicolas Nicolas Hernan Gonzalo OTAMENDI OTAMENDI,12/02/1988,Argentina,ARG,SL Ben,POR,182,134,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,4.0,7.0,7.0,0.0,0.0,0.0,100.0,Nicolás Otamendi,7.0,7.0,690.0,7.7,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,13.0,9.0,6.0,0.0,,,100.0,Nicolás Otamendi
20,MF,MAC ALLISTER Alexis Alexis MAC ALLISTER MAC ALLISTER,24/12/1998,Argentina,ARG,Liverpool FC,ENG,176,48,6,35.0,30.0,2599.0,28.9,5.0,5.0,0.0,0.0,6.0,0.0,38.0,14.0,62.0,22.0,59.0,0.0,,,100.0,Alexis Mac Allister,37.0,31.0,2658.0,29.5,2.0,4.0,0.0,0.0,7.0,0.0,52.0,12.0,35.0,18.0,27.0,0.0,,,100.0,Alexis Mac Allister,,,,,,,,,,,,,,,,,,,,,6.0,6.0,550.0,6.1,1.0,1.0,0.0,0.0,0.0,0.0,7.0,4.0,1.0,3.0,4.0,0.0,,,100.0,Alexis Mac Allister
21,FW,LOPEZ Jose Manuel Jose Manuel Alberto LOPEZ LOPEZ,06/12/2000,Argentina,ARG,SE Palmeiras,BRA,190,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,FW,MARTINEZ Lautaro Lautaro Javier MARTÍNEZ L. MARTINEZ,22/08/1997,Argentina,ARG,FC Internazionale Milano,ITA,175,79,37,31.0,31.0,2564.0,28.5,12.0,3.0,0.0,0.0,1.0,0.0,101.0,34.0,42.0,9.0,15.0,0.0,,,100.0,Lautaro Martínez,30.0,27.0,2159.0,24.0,17.0,6.0,0.0,0.0,4.0,0.0,92.0,39.0,47.0,6.0,13.0,0.0,,,100.0,Lautaro Martínez,,,,,,,,,,,,,,,,,,,,,6.0,2.0,241.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,1.0,1.0,0.0,0.0,,,100.0,Lautaro Martínez
23,GK,MARTINEZ Emiliano Damián Emiliano MARTÍNEZ E. MARTINEZ,02/09/1992,Argentina,ARG,Aston Villa FC,ENG,195,61,0,37.0,37.0,3194.0,35.5,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,,,100.0,Emiliano Martínez,32.0,32.0,2835.0,31.5,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100.0,Emiliano Martínez,,,,,,,,,,,,,,,,,,,,,7.0,7.0,690.0,7.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,100.0,Emiliano Martínez
24,MF,FERNANDEZ Enzo Enzo Jeremías FERNÁNDEZ E. FERNANDEZ,17/01/2001,Argentina,ARG,Chelsea FC,ENG,178,44,6,36.0,32.0,2947.0,32.7,6.0,7.0,0.0,0.0,8.0,0.0,53.0,20.0,52.0,13.0,32.0,0.0,,,100.0,Enzo Fernández,36.0,35.0,3115.0,34.6,10.0,4.0,2.0,2.0,10.0,0.0,72.0,31.0,36.0,20.0,24.0,0.0,,,100.0,Enzo Fernández,,,,,,,,,,,,,,,,,,,,,7.0,5.0,564.0,6.3,1.0,1.0,0.0,0.0,1.0,0.0,8.0,3.0,7.0,3.0,15.0,1.0,,,100.0,Enzo Fernández
25,DF,MEDINA Facundo Facundo Axel MEDINA MEDINA,28/05/1999,Argentina,ARG,Olympique Marseille,FRA,184,11,0,29.0,29.0,2543.0,28.3,0.0,1.0,0.0,0.0,15.0,1.0,27.0,3.0,29.0,31.0,30.0,0.0,,,100.0,Facundo Medina,17.0,16.0,1365.0,15.2,0.0,1.0,0.0,0.0,7.0,0.0,4.0,1.0,24.0,24.0,16.0,1.0,,,100.0,Facundo Medina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
