league,season,team,player,nation,pos,age,club,born,playing_time_mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,90s,standard_gls,standard_sh,standard_sot,standard_sot%,standard_sh/90,standard_sot/90,standard_g/sh,standard_g/sot,standard_pk,standard_pkatt,playing_time_playing_time_mp,playing_time_playing_time_min,playing_time_mn/mp,playing_time_min%,playing_time_playing_time_90s,starts_starts,starts_mn/start,starts_compl,subs_subs,subs_mn/sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+/-,team_success_+/-90,team_success_on-off,misc_90s,misc_performance_crdy,misc_performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og
INT-World Cup,2022,Argentina,Juan Foyth,Argentina,DF,24,1. Villarreal,1998,1.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1,5.0,5.0,0.7,0.1,0,,0,1,5.0,6,3.0,0.0,0.0,0.0,0.0,-0.92,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
INT-World Cup,2022,Argentina,Julián Álvarez,Argentina,FW,22,1. Manchester City,2000,7.0,5.0,464.0,5.2,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.78,0.0,0.78,0.78,0.78,5.2,4.0,11.0,8.0,72.7,2.13,1.55,0.36,0.5,0.0,0.0,7,464.0,66.0,67.2,5.2,5,81.0,0,2,30.0,0,2.0,13.0,2.0,11.0,2.13,3.73,5.2,0.0,0.0,0.0,13.0,2.0,5.0,3.0,0.0,2.0,,,0.0
INT-World Cup,2022,Argentina,Lautaro Martínez,Argentina,FW,24,1. Inter,1997,6.0,2.0,241.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,14.0,4.0,28.6,5.23,1.49,0.0,0.0,0.0,0.0,6,241.0,40.0,34.9,2.7,2,76.0,1,4,22.0,1,1.83,2.0,6.0,-4.0,-1.49,-3.7,2.7,0.0,0.0,0.0,1.0,5.0,5.0,0.0,1.0,0.0,,,0.0
INT-World Cup,2022,Argentina,Leandro Paredes,Argentina,MF,27,1. Juventus,1994,5.0,2.0,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,1.0,1.0,100.0,0.4,0.4,0.0,0.0,0.0,0.0,5,225.0,45.0,32.6,2.5,2,60.0,0,3,35.0,2,1.6,6.0,5.0,1.0,0.4,-0.76,2.5,2.0,0.0,0.0,6.0,5.0,0.0,0.0,3.0,4.0,,,0.0
INT-World Cup,2022,Argentina,Lionel Messi,Argentina,FW,34,1. PSG,1987,7.0,7.0,690.0,7.7,7.0,3.0,10.0,3.0,4.0,5.0,1.0,0.0,0.91,0.39,1.3,0.39,0.78,7.7,7.0,32.0,18.0,56.3,4.17,2.35,0.09,0.17,4.0,5.0,7,690.0,99.0,100.0,7.7,7,99.0,7,0,,0,2.0,15.0,8.0,7.0,0.91,,7.7,1.0,0.0,0.0,10.0,22.0,3.0,20.0,0.0,4.0,,,0.0
INT-World Cup,2022,Argentina,Lisandro Martínez,Argentina,DF,24,1. Manchester Utd,1998,5.0,2.0,303.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,1.0,0.0,0.0,0.3,0.0,0.0,,0.0,0.0,5,303.0,61.0,43.9,3.4,2,101.0,1,3,34.0,2,2.0,6.0,3.0,3.0,0.89,-0.04,3.4,1.0,0.0,0.0,2.0,3.0,0.0,1.0,3.0,2.0,,,0.0
INT-World Cup,2022,Argentina,Marcos Acuña,Argentina,"DF,MF",30,1. Sevilla,1991,6.0,4.0,373.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,2.0,0.0,0.0,0.48,0.0,0.0,,0.0,0.0,6,373.0,62.0,54.1,4.1,4,74.0,1,2,39.0,0,1.83,8.0,3.0,5.0,1.21,0.64,4.1,3.0,0.0,0.0,9.0,9.0,0.0,17.0,2.0,8.0,,,0.0
INT-World Cup,2022,Argentina,Nahuel Molina,Argentina,"DF,MF",24,1. Atlético Madrid,1998,7.0,6.0,567.0,6.3,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.16,0.16,0.32,0.16,0.32,6.3,1.0,2.0,1.0,50.0,0.32,0.16,0.5,1.0,0.0,0.0,7,567.0,81.0,82.2,6.3,6,90.0,2,1,28.0,0,2.0,14.0,7.0,7.0,1.11,1.11,6.3,0.0,0.0,0.0,3.0,0.0,1.0,6.0,3.0,4.0,,,0.0
INT-World Cup,2022,Argentina,Nicolás Otamendi,Argentina,DF,34,1. Benfica,1988,7.0,7.0,690.0,7.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.13,0.13,0.0,0.13,7.7,0.0,1.0,0.0,0.0,0.13,0.0,0.0,,0.0,0.0,7,690.0,99.0,100.0,7.7,7,99.0,7,0,,0,2.0,15.0,8.0,7.0,0.91,,7.7,2.0,0.0,0.0,13.0,5.0,1.0,0.0,9.0,6.0,,,0.0
INT-World Cup,2022,Argentina,Nicolás Tagliafico,Argentina,DF,29,1. Lyon,1992,6.0,3.0,373.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,3.0,2.0,66.7,0.72,0.48,0.0,0.0,0.0,0.0,6,373.0,62.0,54.1,4.1,3,93.0,1,3,31.0,1,1.83,8.0,8.0,0.0,0.0,-1.99,4.1,0.0,0.0,0.0,6.0,6.0,1.0,1.0,9.0,7.0,,,0.0
INT-World Cup,2022,Argentina,Papu Gómez,Argentina,"MF,FW",34,1. Sevilla,1988,2.0,2.0,107.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,2.0,0.0,0.0,1.68,0.0,0.0,,0.0,0.0,2,107.0,54.0,15.5,1.2,2,54.0,0,0,,4,1.5,2.0,2.0,0.0,0.0,-1.08,1.2,0.0,0.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,,,0.0
INT-World Cup,2022,Argentina,Paulo Dybala,Argentina,"FW,MF",28,1. Roma,1993,2.0,0.0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,2,18.0,9.0,2.6,0.2,0,,0,2,9.0,5,2.0,0.0,0.0,0.0,0.0,-0.94,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0
INT-World Cup,2022,Argentina,Rodrigo De Paul,Argentina,MF,28,1. Atlético Madrid,1994,7.0,7.0,599.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,7.0,3.0,42.9,1.05,0.45,0.0,0.0,0.0,0.0,7,599.0,86.0,86.8,6.7,7,86.0,4,0,,0,2.0,13.0,5.0,8.0,1.2,2.19,6.7,0.0,0.0,0.0,7.0,15.0,0.0,12.0,7.0,7.0,,,0.0
INT-World Cup,2022,Argentina,Thiago Almada,Argentina,"FW,MF",21,1. Atlanta Utd,2001,1.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1,7.0,7.0,1.0,0.1,0,,0,1,7.0,6,3.0,0.0,0.0,0.0,0.0,-0.92,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
INT-World Cup,2022,Argentina,Ángel Correa,Argentina,"FW,MF",27,1. Atlético Madrid,1995,1.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1,5.0,5.0,0.7,0.1,0,,0,1,5.0,6,3.0,0.0,0.0,0.0,0.0,-0.92,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,0.0
INT-World Cup,2022,Argentina,Ángel Di María,Argentina,"MF,FW",34,1. Juventus,1988,5.0,4.0,288.0,3.2,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.31,0.31,0.62,0.31,0.62,3.2,1.0,6.0,3.0,50.0,1.87,0.94,0.17,0.33,0.0,0.0,5,288.0,58.0,41.7,3.2,4,70.0,1,1,9.0,2,1.6,5.0,2.0,3.0,0.94,0.04,3.2,0.0,0.0,0.0,0.0,7.0,5.0,27.0,1.0,1.0,,,0.0
INT-World Cup,2022,Australia,Aaron Mooy,Australia,MF,31,1. Celtic,1990,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,,0.0,0.0,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.5,4.0,6.0,-2.0,-0.5,,4.0,1.0,0.0,0.0,4.0,1.0,0.0,10.0,2.0,6.0,,,0.0
INT-World Cup,2022,Australia,Ajdin Hrustic,Australia,MF,25,1. Hellas Verona,1996,3.0,0.0,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,1.0,0.0,0.0,1.45,0.0,0.0,,0.0,0.0,3,62.0,21.0,17.2,0.7,0,,0,3,21.0,1,2.0,1.0,0.0,1.0,1.45,2.36,0.7,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,,,0.0
INT-World Cup,2022,Australia,Andrew Redmayne,Australia,GK,33,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,4,,,,,,,,,,,,,,,,,,,
INT-World Cup,2022,Australia,Awer Mabil,Australia,"FW,MF",26,1. Cádiz,1995,2.0,0.0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,2,24.0,12.0,6.7,0.3,0,,0,2,12.0,2,1.5,0.0,0.0,0.0,0.0,0.54,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0
INT-World Cup,2022,Australia,Aziz Behich,Australia,DF,31,1. Dundee United,1990,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,,0.0,0.0,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.5,4.0,6.0,-2.0,-0.5,,4.0,1.0,0.0,0.0,3.0,3.0,0.0,5.0,3.0,3.0,,,0.0
INT-World Cup,2022,Australia,Bailey Wright,Australia,DF,29,2. Sunderland,1992,1.0,0.0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1,17.0,17.0,4.7,0.2,0,,0,1,17.0,3,3.0,0.0,0.0,0.0,0.0,0.52,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
INT-World Cup,2022,Australia,Cammy Devlin,Australia,MF,24,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,4,,,,,,,,,,,,,,,,,,,
INT-World Cup,2022,Australia,Craig Goodwin,Australia,MF,30,1. Adelaide United,1991,4.0,3.0,234.0,2.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.38,0.38,0.77,0.38,0.77,2.6,1.0,2.0,1.0,50.0,0.77,0.38,0.5,1.0,0.0,0.0,4,234.0,59.0,65.0,2.6,3,67.0,0,1,33.0,0,1.5,3.0,4.0,-1.0,-0.38,0.33,2.6,0.0,0.0,0.0,1.0,2.0,0.0,18.0,0.0,3.0,,,0.0
INT-World Cup,2022,Australia,Danny Vukovic,Australia,GK,37,,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,4,,,,,,,,,,,,,,,,,,,
INT-World Cup,2022,Australia,Fran Karačić,Australia,DF,26,2. Brescia,1996,2.0,1.0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.9,0.0,0.0,,0.0,0.0,2,93.0,47.0,25.8,1.0,1,74.0,0,1,19.0,2,1.5,2.0,0.0,2.0,1.94,3.28,1.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,2.0,2.0,,,0.0
INT-World Cup,2022,Australia,Garang Kuol,Australia,MF,17,1. Central Coast,2004,2.0,0.0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,1.0,100.0,2.43,2.43,0.0,0.0,0.0,0.0,2,37.0,19.0,10.3,0.4,0,,0,2,19.0,2,0.0,1.0,0.0,1.0,2.43,3.27,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
INT-World Cup,2022,Australia,Harry Souttar,Australia,DF,23,2. Stoke City,1998,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,,0.0,0.0,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.5,4.0,6.0,-2.0,-0.5,,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,,,0.0
INT-World Cup,2022,Australia,Jackson Irvine,Australia,"MF,FW",29,2. St Pauli,1993,4.0,4.0,354.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,3.0,0.0,0.0,0.76,0.0,0.0,,0.0,0.0,4,354.0,89.0,98.3,3.9,4,89.0,3,0,,0,1.5,4.0,6.0,-2.0,-0.51,-0.51,3.9,2.0,0.0,0.0,7.0,2.0,0.0,2.0,3.0,2.0,,,0.0
INT-World Cup,2022,Australia,Jamie Maclaren,Australia,FW,28,1. Melb City,1993,3.0,0.0,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,3,55.0,18.0,15.3,0.6,0,,0,3,18.0,1,2.0,1.0,0.0,1.0,1.64,2.52,0.6,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,,,0.0
INT-World Cup,2022,Australia,Jason Cummings,Australia,FW,26,1. Central Coast,1995,1.0,0.0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1,35.0,35.0,9.7,0.4,0,,0,1,35.0,3,0.0,0.0,2.0,-2.0,-5.14,-5.14,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
INT-World Cup,2022,Australia,Joel King,Australia,DF,21,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,4,,,,,,,,,,,,,,,,,,,
INT-World Cup,2022,Australia,Keanu Baccus,Australia,MF,24,1. St Mirren,1998,4.0,1.0,114.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.0,0.0,0.0,0.79,0.0,0.0,,0.0,0.0,4,114.0,29.0,31.7,1.3,1,57.0,0,3,19.0,0,1.5,1.0,2.0,-1.0,-0.79,-0.42,1.3,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,,,0.0
INT-World Cup,2022,Australia,Kye Rowles,Australia,DF,23,1. Hearts,1998,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.5,4.0,6.0,-2.0,-0.5,,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,7.0,2.0,,,0.0
INT-World Cup,2022,Australia,Marco Tilio,Australia,MF,20,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,4,,,,,,,,,,,,,,,,,,,
INT-World Cup,2022,Australia,Mathew Leckie,Australia,MF,31,1. Melb City,1991,4.0,4.0,333.0,3.7,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.27,0.27,0.54,0.27,0.54,3.7,1.0,1.0,1.0,100.0,0.27,0.27,1.0,1.0,0.0,0.0,4,333.0,83.0,92.5,3.7,4,83.0,1,0,,0,1.5,3.0,6.0,-3.0,-0.81,-4.14,3.7,0.0,0.0,0.0,8.0,6.0,0.0,4.0,1.0,4.0,,,0.0
INT-World Cup,2022,Australia,Mathew Ryan,Australia,GK,30,1. FC Copenhagen,1992,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.5,4.0,6.0,-2.0,-0.5,,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0
INT-World Cup,2022,Australia,Miloš Degenek,Australia,DF,28,1. Columbus Crew,1994,4.0,2.0,183.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,4,183.0,46.0,50.8,2.0,2,81.0,1,2,11.0,0,1.5,1.0,2.0,-1.0,-0.49,0.02,2.0,2.0,0.0,0.0,2.0,8.0,0.0,1.0,1.0,4.0,,,0.0
INT-World Cup,2022,Australia,Mitchell Duke,Australia,FW,31,2. F. Okayama,1991,4.0,4.0,270.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.33,0.0,0.33,0.33,0.33,3.0,1.0,7.0,4.0,57.1,2.33,1.33,0.14,0.25,0.0,0.0,4,270.0,68.0,75.0,3.0,4,68.0,0,0,,0,1.5,3.0,4.0,-1.0,-0.33,0.67,3.0,1.0,0.0,0.0,6.0,3.0,1.0,1.0,2.0,0.0,,,0.0
INT-World Cup,2022,Australia,Nathaniel Atkinson,Australia,DF,23,1. Hearts,1999,1.0,1.0,84.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1,84.0,84.0,23.3,0.9,1,84.0,0,0,,2,0.0,1.0,4.0,-3.0,-3.21,-3.54,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,,,0.0
INT-World Cup,2022,Australia,Riley McGree,Australia,"MF,FW",23,2. Middlesbrough,1998,4.0,4.0,265.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.34,0.0,0.34,2.9,0.0,3.0,1.0,33.3,1.02,0.34,0.0,0.0,0.0,0.0,4,265.0,66.0,73.6,2.9,4,66.0,0,0,,0,1.5,3.0,6.0,-3.0,-1.02,-1.97,2.9,0.0,0.0,0.0,9.0,2.0,0.0,5.0,5.0,1.0,,,0.0
INT-World Cup,2022,Australia,Thomas Deng,Australia,DF,25,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,4,,,,,,,,,,,,,,,,,,,
INT-World Cup,2022,Belgium,Amadou Onana,Belgium,MF,20,1. Everton,2001,2.0,1.0,104.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,2.0,0.0,0.0,1.73,0.0,0.0,,0.0,0.0,2,104.0,52.0,38.5,1.2,1,59.0,0,1,45.0,0,1.5,0.0,0.0,0.0,0.0,0.54,1.2,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,,,0.0
INT-World Cup,2022,Belgium,Arthur Theate,Belgium,DF,22,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0,0,,3,,,,,,,,,,,,,,,,,,,
INT-World Cup,2022,Belgium,Axel Witsel,Belgium,MF,33,1. Atlético Madrid,1989,3.0,3.0,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0,,0.0,0.0,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.33,1.0,2.0,-1.0,-0.33,,3.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,4.0,2.0,,,0.0
INT-World Cup,2022,Belgium,Charles De Ketelaere,Belgium,"FW,MF",21,1. Milan,2001,1.0,0.0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,1,16.0,16.0,5.9,0.2,0,,0,1,16.0,2,0.0,0.0,1.0,-1.0,-5.63,-5.63,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0
